no,displayUserNick,rateContent,rateDate,package,quality,price,service,logistics,other,sentiment
0,y***0,帮叔叔买的，喜欢好评,2015-7-4 6:34,0,0,0,0,0,0,0
1,g***t,任何脱离成本谈质量的行为都是耍流氓，100的价格在这摆着呢，不要指望买到1000的品质。不过话说回来，网购图的就是性价比，如果都跟实体店一样，谁还来网购呢？这茶我喝了，认真负责的说，形、色、味，都很一般，实在是乏善可陈，100一斤，实体店应该也就这意思吧，基本没怎么体现出网购的优势来，反正下次我是不会再买了。,2015-7-4 1:13,0,1,0,0,0,0,1
2,纷***8,我在这家买了很多次茶叶了，真的不错，口感清香，价格也实在，以后还会来买的,2015-7-3 21:49,0,1,1,0,0,0,0
3,l***k,还可以,2015-7-3 17:43,0,0,0,0,0,0,0
4,c***6,还是这个味。。。。。。。性价比很高。。。。。。。会继续关注的。。。。。。。。。。。。,2015-7-3 16:38,0,1,1,0,0,0,0
5,海***7,挺好的,2015-7-3 16:32,0,0,0,0,0,0,0
6,y***i,好品牌，非常喜欢,2015-7-3 16:24,0,0,0,0,0,0,0
7,张***豆,很好,2015-7-3 15:26,0,0,0,0,0,0,0
8,摇***栗,很好！,2015-7-3 12:06,0,0,0,0,0,0,0
9,a***r,还没喝，看着很不错,2015-7-3 8:45,0,0,0,0,0,0,0
10,z***6,"今年的新茶，开袋一股清香，味道还不错,茶叶品相饱满 口感清澈 香味不浓不腻 恰到好,对于我们这些不懂茶的人来说算非常好的了，包装什么的很古朴，外面看着是牛皮纸，内部有防潮的，很喜欢这样的包装。还送了夹子，礼品袋,方便送人。就是快递慢的实在是受不了，绕了大半个中国，费了一周才到，真无语... 服务态度不错，有问必答，恢复速度也蛮快...",2015-7-2 21:47,0,1,0,0,1,0,1
11,人***5,收到货尝了一下，很香，是新茶，这个价格能有这样的味道真是物美价廉。包装很仔细，还送了封口夹，超赞,2015-7-2 21:42,1,1,0,1,0,0,0
12,w***0,多次购买了，很好喝，给朋友买 的这次是,2015-7-2 18:05,0,1,0,0,0,0,0
13,k***5,老买家，茶叶新鲜，味道纯正，好。,2015-7-2 17:40,0,1,0,0,0,0,0
14,t***3,茶叶不错 老爸说挺香的,2015-7-2 17:12,0,1,0,0,0,0,0
15,e***8,一分钱一分货,2015-7-2 17:09,0,0,0,0,0,0,0
16,p***7,东西很好，还送了夹子，第二次买了，聚划算还可以，下次再买 发货挺快的，还送了夹子，以后继续买,2015-7-2 16:27,0,0,0,1,0,0,0
17,z***y,不错,2015-7-2 16:22,0,0,0,0,0,0,0
18,n***r,很好，多次光顾本店了 5分,2015-7-2 15:13,0,0,0,0,0,0,0
19,s***t,物超所值,2015-7-2 14:52,0,0,0,0,0,0,0
20,w***7,茶叶不错，感觉不耐泡,2015-7-6 7:22,0,1,0,0,0,0,1
21,七***6,味道不错，喝完再来,2015-7-6 6:09,0,1,0,0,0,0,0
22,声***你,包装挺严密，还没喝，估计味道不错,2015-7-6 1:50,1,0,0,0,0,0,0
23,r***y,搞活动的价格配上相应的品质，不错~,2015-7-5 23:57,0,0,1,1,0,0,0
24,t***2,感觉不错，好评,2015-7-5 23:30,0,0,0,0,0,0,0
25,c***5,一直喝这个牌子，还不错，希望下次更便宜，更给力！ 服务好，发货快！,2015-7-5 15:22,0,0,0,1,0,0,0
26,b***n,老客户了,2015-7-5 13:17,0,0,0,0,0,0,0
27,浆***包,第二次购买了，东西不错,2015-7-5 11:52,0,0,0,0,0,0,0
28,杜***仙,"一直买这家,正宗",2015-7-5 8:21,0,0,0,0,0,1,0
