no,displayUserNick,rateContent,rateDate,package,quality,price,service,logistics,other,sentiment
0,淮***吴,一如既往的好！,2015-1-3 15:23,0,0,0,0,0,0,0
1,s***8,好评,2014-12-17 16:48,0,0,0,0,0,0,0
2,s***3,还行,2014-12-15 15:12,0,0,0,0,0,0,0
3,换***中,很好,2014-12-4 10:13,0,0,0,0,0,0,0
4,爱***苏,很好，口感还可以,2014-12-1 19:08,0,1,0,0,0,0,0
5,阿***苏,好评，第二次买了，一如既往,2014-11-18 17:23,0,0,0,0,0,0,0
6,t***0,包装很精致，高大上，茶叶品质也很棒！,2014-11-18 11:28,1,1,0,0,0,0,0
7,k***3,东西不错，一直喝卢正浩的龙井，好多款都尝试过，都蛮好,2014-11-16 19:04,0,1,0,0,0,0,0
8,难***3,很好的宝贝 赞～！ 希望天天都是双十一,2014-11-15 22:05,0,1,0,0,0,0,0
9,t***2,很好喝，很香,2014-11-15 15:37,0,1,0,0,0,0,0
10,c***8,茶叶不错，性价比超高，一如既往的好，还送的高端大气上档次的筷子，真的很棒，希望卢正浩越办越好，支持你们。 不错，,2014-11-14 16:03,1,1,1,0,0,0,0
11,孙***强,可以,2014-11-8 8:07,0,0,0,0,0,0,0
12,s***7,好,2014-10-29 8:59,0,0,0,0,0,0,0
13,l***9,茶叶还行吧，不过这个价位也就买到这个等级了，一分钱一分货,2014-10-13 10:56,0,1,0,0,0,0,2
14,b***3,包装精细，价格实惠，很好~,2014-9-17 17:26,1,1,0,0,0,0,0
15,小***5,这茶是听同事说好喝，我也买来喝，还送别人喝，多说味道还不错，喝完了，下次还会来买的，快递也很给力，很快,2014-9-15 14:56,0,1,0,0,0,0,0
16,f***4,不错,2014-9-9 15:09,0,0,0,0,0,0,0
17,g***t,这个价位，差不多吧。,2014-9-9 8:31,0,0,1,0,0,0,2
18,h***9,非常好的茶，包装好，服务好，味道也好，满分。,2014-9-5 16:03,1,1,0,1,0,0,0
19,a***n,茶叶很好，已经是第三次买了。家人喝了都说口感很好，包装也很大气，送礼也很上档次，物有所值，下次还来。 服务态度很好,2014-8-25 22:08,1,1,1,1,0,0,0
20,i***s,不错,2015-8-16 11:05,0,0,0,0,0,0,0
21,d***鄢,好茶,2015-6-28 13:11,0,1,0,0,0,0,0
22,b***b,方便携带！东西一直好,2015-6-27 15:49,0,1,0,0,0,1,0
23,w***h,味道不错,2015-6-27 14:06,0,1,0,0,0,0,0
24,c***e,买了8盒，包装的很好，每个都用气泡袋了，日期上都是最新的茶叶。发货和物流都很快，还没有开始喝，第一印象很好，喝了在过来评价。,2015-6-10 16:35,1,0,0,0,1,1,0
25,t***7,一如既往的棒！一包太淡，两包太艳&hellip;,2015-5-29 22:40,0,1,0,0,0,0,0
26,a***f,第4次买了，味道不错，卢正浩茶叶正。,2015-5-24 20:25,0,1,0,0,0,0,0
27,s***d,喝了一半，才发现里面竟然有片羽毛状的东西，好恶心！！！,2015-5-24 10:36,0,1,0,0,0,0,1
28,a***f,好！,2015-5-11 15:56,0,0,0,0,0,0,0
29,l***n,一直在卢正浩买，老客户，自己喝的，这个价位合理，全5分。,2015-5-3 16:14,0,1,1,0,0,0,0
30,s***蓝,买了好多次，以前都有小礼物，这次啥都没送。新买的待评价！,2015-5-3 14:53,1,0,0,0,0,0,1
31,h***r,不错的茶叶，买过很多次了，一如既往的好！,2015-4-20 21:34,0,1,0,0,0,0,0
32,w***8,很好，第一次购买，品尝后感觉真的很棒，下次还会光顾的,2015-4-20 16:37,0,1,0,0,0,0,0
33,s***l,还行，N次购买了,2015-3-14 10:26,0,0,0,0,0,0,0
34,s***8,买了N次了，一如既往的好,2015-3-2 14:23,0,0,0,0,0,0,0
35,f***4,好评,2015-2-17 13:53,0,0,0,0,0,0,0
36,h***0,茶叶有点碎。小贵了。习惯5分,2015-2-1 11:08,0,1,1,0,0,0,1
37,s***8,尝试了好几家的龙井，还是老卢家的好，赞！,2015-1-28 9:20,0,0,0,0,0,0,0
38,d***n,挺好，香气浓，不耐泡，基本都是泡一次,2015-1-23 15:41,0,1,0,0,0,0,1
39,z***0,味道不错，物有所值,2015-1-8 17:30,0,1,1,0,0,0,0
40,t***1,很好，每年都从他家买了送朋友。 小茶人小梅服务很好。另外当天因为塑封机坏了没及时发货，客服还特意电话来致歉。,2016-7-1 19:32,0,0,0,1,0,0,0
41,文***9,非常好，用来送客户的，包装精美大气。白琳的服务很好，回复及时，为我着想还送了手提袋，非常满意,2016-6-26 6:58,1,0,0,1,0,0,0
42,r***7,,2016-6-24 17:46,0,0,0,0,0,0,0
43,w***8,不想说什么了，已经购买的多次了，以后还会光顾的 好,2016-6-24 17:32,0,0,0,0,0,0,0
44,x***9,不错，方便。,2016-6-24 9:36,0,0,0,0,0,0,0
45,c***d,喜欢，一如既往，非常好,2016-6-17 11:12,0,0,0,0,0,0,0
46,情***舍,货真价实！！,2016-6-8 22:47,0,1,1,0,0,0,0
47,l***1,宝贝喝起来挺清香的,2016-5-25 20:37,0,1,0,0,0,0,0
48,f***5,没看到你们默认不给防伪标，我默认的是既然是正宗的西湖龙井就应该贴防伪标！,2016-5-2 12:55,0,0,0,0,0,1,1
