猫*** 口感很好，喝起来味道不错，?
桑***	送朋友的，如果里盒不破就更?
i***?	茶的味道很纯正，?
b***?	茶叶不错，味道?
女***	口感特别好~~！ 价?
t***1	东西不错，
s***8	味道挺好，不错的，喜欢，
静***	口感好，价位很合理 ?
w***3	金花很多，?
w***7	茶叶好，如店家描述，泡茶口感细腻，口味
w***1	口感不错，很喜欢的味道，满意
5***?	第二次购买了，还需要
一***	非常的?
匡***	味道很不错呢，和卖家描述的一
z***0	宝贝和卖家描述一致，物?
r***8	很好的茶，爸爸说比实体店里?
清***	这款送给爸爸的，老爸
赵***	物流很快还送
亿***	东西收到了，货真价实，是正品哦，喝了?
紫***	宝贝收到了，是正品，和卖家描述的
q***s	亲你的宝贝我
y***n	产品很好，很满意的一
仰***	不错，非
t***6	质量好?
h***9	送朋友的，包装很精致大气上档次，
t***9	只喝了礼品的天尖茶，颜色很
h***2	确实很精致，相?
王***	买了送人的，茶叶包装很精致，高端
小***	宝贝收到了，泡了一
今***	包装很精致，味道好闻，价格实惠，口
市***	很不错，准备存些时间再喝，相信口味会更醇厚，感谢?
街***	味道纯正  大爱 
z***5	很不错，试用茶很棒，包装也很棒，适?
q***6	颜色正，味道好，?
明***	很不错的商品哦，很
t***3	收到了 不?
九***	绝对的好评！很好的卖?
萍***	物流挺快的，包装挺精致?
门***	口感好，味道正，是正品，很喜欢这种清香的味道
任***	口感好，是正品，包装很精致?
t***0	一般吧，味道比较淡，跟我买的别人家
没***	挺好的，包装
汤***	口感好，闲来无事坐?
鲍***	味道很不错 家?
1***?	茶叶收到了，刚泡了一壶喝了一下，感觉
y***8	收到喜欢味道很正朋友?
红***	不错不错，买来送人的，包装挺好的
为***	宝贝口感很好，是喜欢的味道，非常正，包装?
t***2	细节非常到位，送飘逸杯和
程***	宝贝已经收到了，质量很好，是真品。味道很好，很
不***	茶叶不错，很香，?
w***6	口感不过，跟想象中的一样?
牛***	刚刚收到，给个好评先！喝了感觉还可以，金花还是有的，有点老茶的
t***6	宝贝收到了，口感不
淡***	尝了下，口感还不
x***x	宝贝滋味醇厚，茯茶的菌花香，入
j***6	宝贝已收到 质量很好 茶叶口感好
l***2	很不错的卖?
k***3	刚收到还没喝?
刘***	宝贝已经成功收到，的确不错，包装精美，貌似古代的信件，还有多
我***	包装很好，茶叶挺好喝的，
t***6	好评！ 卖家?
1***l	发货快、物流给力、卖家态度很好、?
t***3	很不错的宝贝
x***5	未尝，?
t***6	我公公喜欢喝茶叶 买来送来给
人***	宝贝收到了，包装不错，喝了?
馥***	宝贝收到啦，买回来送人的，包装很?
t***3	?宝贝收到了，很喜欢，卖家?
菲***	买给爸爸的，他朋友?
j***5	宝贝收到了，
酷***	不错。
米***	收到了，嗯，有小贺卡一张?包装很好，有赠品，送的宣传册很好，有一
l***y	店家很好，我的茶叶由于快递原因没有寄到，店家给我打了一天电话，我却以为是骚扰电话没接，后来店家给我发信
